799889580001962TAVG-9999   -9999   -9999   -9999    -320  f -880  f-1030  f -930  f -930  f -360  f -320  f  -40  f
799889580001963TAVG    0  f   30  f -360  f -740  f -560  f -780  f-1030  f-1900  f-1050  f -880  f -250  f   80  f
799889580001964TAVG  100  f    0  f -240  f -770  f -940  f-1170  f -600  f-2010  f -970  f -320  f -110  f    0  f
799889580001965TAVG   90  f   70  f  110  f -330  f -390  f -740  f-1300  f-1220  f -570  f -890  f -210  f  -80  f
799889580001966TAVG   20  f  -30  f -180  f -570  f -610  f -880  f-1600  f-1200  f-1040  f -670  f -210  f  -60  f
799889580001967TAVG    0  f -200  f -150  f -280  f -860  f -800  f -820  f -860  f -990  f -750  f -380  f    0  f
799889580001968TAVG    0  f  -70  f -150  f -150  f -540  f-1070  f -820  f-1320  f-1240  f -560  f -330  f  -20  f
799889580001969TAVG   30  f  -80  f -500  f -640  f-1230  f-1820  f-1570  f-1100  f -590  f -890  f -360  f   60  f
799889580001970TAVG  -20  f  -80  f -200  f -840  f -850  f -890  f -520  f-1110  f -370  f -240  f  -60  f   80  f
799889580001971TAVG  160  f   30  f  -20  f -200  f -520  f -320  f -580  f -690  f -560  f -250  f -150  f   70  f
799889580001972TAVG  210  f  120  f  -60  f -270  f -370  f -700  f -520  f-1050  f -590  f -400  f -230  f   60  f
799889580001973TAVG  -80  f  -20  f -200  f -650  f -840  f-1000  f -870  f -640  f -710  f -410  f -150  f   30  f
799889580001974TAVG  100  f  130  f   50  f -380  f -510  f -350  f -800  f -760  f -930  f -280  f -110  f  110  f
799890570001993TAVG  160  f  190  f   10  f -150  f -260  f -400  f-9999    -360  f -370  f -210  f  -20  f   20  f
799890570001994TAVG  180  f  140  f  110  f -110  f -350  f -390  f-1020  f -400  f -370  f -550  f   10  f   90  f
799890570001995TAVG  250  f  230  f   20  f -160  f -240  f -620  f-1170  f-1140  f -680  f -150  f -110  f   80  f
799890570001996TAVG  180  f  250  f  140  f -120  f -220  f -480  f -350  f -400  f -250  f -180  f  -50  f   70  f
799890570001997TAVG  240  f  180  f  160  f -160  f -150  f -430  f -640  f -570  f -710  f -300  f -220  f   50  f
799890570001998TAVG  230  f  300  f  120  f  120  f -120  f -110  f -550  f -700  f -800  f -230  f  -50  f   50  f
799890570001999TAVG  210  f  190  f  160  f  100  f  -50  f -360  f -340  f -530  f -560  f -160  f   10  f  140  f
799890570002000TAVG  200  f  210  f  130  f   30  f -140  f -220  f -300  f -600  f -590  f -170  f  -90  f   30  f
799890570002001TAVG  120  f   70  f   10  f -250  f -110  f -500  f -630  f -290  f -240  f  -80  f  -10  f  140  f
799890570002002TAVG  240  f  260  f    0  f   20  f -540  f -860  f -690  f -500  f -320  f -570  f -140  f   40  f
799890570002003TAVG  190  f  200  f    0  f  -60  f -250  f -720  f -550  f -210  f -310  f -250  f -170  f -120  f
799890570002008TAVG-9999   -9999   -9999   -9999    -160  f-9999   -9999    -410  f -150  f-9999     -20  f  140  f
799890570002009TAVG  220  f  180  f  150  f-9999   -9999   -9999   -9999   -9999   -9999   -9999    -220  f-9999   
